,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,last_name,first_initial
377,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,,mcneill,F
378,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,tiegel,M
379,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,,,huffman,S
380,No,Nonwhite,No,Yes,No,No,No,No,No,,,,,,,,,No,,No,,cano,C
381,Yes,White,Yes,No,No,No,No,No,Yes,,,,,,,,,Yes,,Yes,,mccready,D
382,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,,schneider,M
386,No,,No,No,No,No,No,No,,,Yes,,,,,,,,No,,,crawford,D
387,Yes,,No,No,No,No,Yes,No,,,Yes,,,,,,,,No,,,mcclure,J
388,No,,No,No,Yes,No,No,No,Yes,,Yes,,,,,No,No,,No,,,ashford,B
389,Yes,,No,No,No,No,No,No,No,,Yes,,,,,Yes,Yes,,Yes,,,eastman,K
390,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,,theobald,P
391,No,,No,No,No,No,No,No,,,,,,,,,,,,,,janicek,C
392,No,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,svoboda,F
393,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,,raybould,J
394,No,,Yes,No,No,No,No,No,,,,,,,,,,,,,,marvin,L
395,No,,No,No,No,No,Yes,No,No,No,,No,,,,,,,,No,,heslin,A
396,No,,No,No,No,No,No,No,No,No,,No,,,,,,,,No,,washburne,M
397,Yes,,Yes,No,No,No,No,No,Yes,Yes,,Yes,,,,,,,,Yes,,sherrill,M
398,No,,No,No,No,No,No,No,No,No,,No,,,,,,,,No,,cobert,M
399,No,Nonwhite,No,No,No,Yes,No,No,No,No,,No,,,,,,,,No,,harris,T
400,Yes,White,No,No,Yes,No,No,No,Yes,,,,,,,,,No,,,,drew,J
401,No,,No,No,No,No,No,No,No,,,,,,,,,No,,,,kleinman,N
402,No,Nonwhite,No,No,No,No,No,No,No,,,,,,,,,Yes,,,,youngblood,T
403,No,Nonwhite,No,Yes,No,No,No,No,No,,,,,,,,,No,,,,cunningham,W
404,Yes,Nonwhite,No,No,No,No,No,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,kim,A
405,No,White,No,No,Yes,No,No,No,,,,,,,Yes,,,,Yes,,,keady,J
406,Yes,,Yes,No,No,No,No,No,,,,,,,No,,,,No,,,welle,J
407,No,Nonwhite,No,No,No,No,No,No,No,,,No,,,No,No,,,,,,jois,G
408,No,Nonwhite,No,No,No,No,No,No,No,,,No,,,Yes,Yes,,,,,,jacob,P
409,Yes,,No,No,No,No,No,Yes,Yes,,,Yes,,,No,No,,,,,,malinowski,T
413,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,Yes,Yes,,,Yes,No,No,lopez,A
414,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,No,No,,,No,No,No,lara,D
415,No,Nonwhite,Yes,No,No,No,No,No,,No,No,,No,,No,No,,,No,Yes,Yes,martinez,D
416,Yes,Nonwhite,No,No,No,No,No,Yes,,Yes,No,,Yes,,No,No,,,No,No,No,haaland,D
417,No,White,No,Yes,Yes,No,No,No,,No,Yes,,No,,No,No,,,No,No,No,davis,P
418,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,No,No,,,No,No,No,moya,P
419,No,,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,,hildebrandt,M
420,Yes,Nonwhite,No,No,No,No,No,No,Yes,Yes,,,,,No,,,,,,,small,X
427,Yes,,No,No,No,No,No,No,,,Yes,,,,No,,,,,,,koble,C
428,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,,jr.,J
429,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,,hurley,J
430,No,,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,,fogarty,P
431,No,,No,No,No,No,Yes,No,,,Yes,,,,No,,,,,,,shepherd,R
432,No,,Yes,No,No,No,No,No,,,No,,,,No,,,,,,,alm,V
433,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,stoltz,E
434,No,,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,pinjuv,G
435,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,love,J
436,No,,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,weiss,M
437,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,hart,R
438,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,schiffman,S
439,Yes,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,lee,S
440,No,Nonwhite,No,No,Yes,No,No,No,No,,No,No,,,No,No,,No,,No,,stephens,A
441,No,,No,No,No,No,No,No,No,,Yes,No,,,Yes,Yes,,Yes,,No,,vilela,A
442,No,,No,No,No,No,No,No,No,,Yes,No,,,No,No,,,,,,anzalone,J
443,No,Nonwhite,Yes,Yes,Yes,No,No,No,No,,Yes,No,,,No,No,,No,,Yes,,spearman,P
444,No,,Yes,No,No,No,No,No,No,,No,No,,,No,No,,No,,No,,zeller,S
445,Yes,Nonwhite,No,No,Yes,No,No,No,Yes,,Yes,Yes,,,No,No,,,,,,horsford,S
446,No,Nonwhite,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,rheinhart,A
447,No,Nonwhite,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,mahendra,B
448,No,,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,burleigh,D
449,No,,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,knight,D
450,Yes,,No,No,Yes,No,Yes,No,Yes,Yes,,Yes,,,No,,,,,,,rosen,J
451,No,Nonwhite,No,No,No,Yes,No,No,No,No,,No,,,Yes,,,,,,,sbaih,J
452,No,,No,No,No,No,No,No,,,,,,,,,,,,,,pechefsky,D
453,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,,dimasi,E
454,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,browning,K
455,Yes,,No,No,No,Yes,Yes,No,,,,,,,,,,,,,,gershon,P
456,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,,viloria-fisher,V
457,Yes,,Yes,No,No,No,No,No,Yes,,,,,,,,,,Yes,Yes,,rose,M
458,No,Nonwhite,Yes,No,No,No,No,No,No,,,,,,,,,,No,No,,jr.,M
459,No,Nonwhite,No,No,No,No,No,No,No,,,,,,,,,,No,No,,vaid,O
460,No,,No,No,No,No,No,No,No,,,,,,,,,,No,No,,sperling,P
461,No,Nonwhite,No,No,No,No,Yes,No,No,,,,,,,,,,No,No,,mohan,R
462,No,,No,No,No,No,No,No,No,,,,,,,,,,No,No,,emig,Z
463,Yes,Nonwhite,No,No,No,No,No,No,,No,Yes,,,,,No,,No,,No,,delgado,A
464,No,White,No,No,No,Yes,No,No,,No,No,,,,,No,,No,,No,,flynn,B
465,No,,No,No,No,Yes,No,No,,No,No,,,,,No,,Yes,,No,,clegg,D
466,No,,No,No,No,No,No,No,,Yes,Yes,,,,,No,,No,,No,,collier,E
467,No,,No,No,No,No,No,No,,No,No,,,,,No,,Yes,,No,,rhodes,G
468,No,,No,No,No,No,No,No,,No,No,,,,,Yes,,No,,No,,beals,J
469,No,,Yes,No,No,No,No,No,,No,No,,,,,No,,Yes,,Yes,,ryan,P
470,No,Nonwhite,Yes,No,Yes,No,No,No,,No,Yes,,,,No,,,No,Yes,Yes,,gregory,D
471,Yes,,No,No,No,No,No,No,,Yes,Yes,,,,Yes,,,Yes,No,No,,shirley,L
472,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,No,,,ratigan,D
473,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,No,,,martz,E
474,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,Yes,,,wilson,K
475,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,No,,,nelson,P
476,Yes,,No,No,Yes,No,No,No,,,Yes,,,,Yes,No,,Yes,No,,,cobb,T
477,Yes,,No,No,Yes,No,No,No,Yes,,No,,,,,,,,Yes,,,brindisi,A
478,No,,No,Yes,No,No,Yes,No,,,No,,,,No,No,,,No,,,sundquist,E
479,No,,No,No,No,No,No,No,,,No,,,,Yes,Yes,,,No,,,golden,I
480,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,No,,,andrei,L
481,No,,Yes,No,No,No,No,No,,,No,,,,No,No,,,No,,,pia,M
482,Yes,,No,No,No,No,No,No,,,Yes,,,,No,No,,,Yes,,,mitrano,T
483,Yes,,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Yes,Yes,Yes,No,,balter,D
484,No,Nonwhite,Yes,No,No,No,No,No,Yes,Yes,Yes,,,,No,No,No,No,No,Yes,,williams,J
485,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,No,,,mcfadden,A
486,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,,,,Yes,,,morelle,J
487,No,,No,No,No,No,No,No,,,Yes,,,,No,,,,No,,,barnhart,R
488,No,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,No,,,wilt,R
489,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,Yes,,,mcmurray,N
496,Yes,Nonwhite,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,,pureval,A
497,No,,No,No,No,No,No,No,,,,,,,,,,,,,,milisits,M
498,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,,klepinger,R
499,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,,gasper,T
500,Yes,,No,No,Yes,No,No,No,,,Yes,,,,,No,,Yes,,,,o'connor,D
501,Yes,,No,No,Yes,No,No,No,,,Yes,,,,,No,,Yes,,,,o'connor,D
502,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,,wilson,D
503,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,,wilson,D
504,No,,Yes,No,No,No,No,No,,,No,,,,,No,,No,,,,albertson,E
505,No,,Yes,No,No,No,No,No,,,No,,,,,No,,No,,,,albertson,E
506,No,,No,No,No,No,No,No,,,Yes,,,,,No,,No,,,,patton,J
507,No,,No,No,No,No,No,No,,,Yes,,,,,No,,No,,,,patton,J
508,No,,No,No,No,No,No,No,,,No,,,,,No,,No,,,,peters,J
509,No,,No,No,No,No,No,No,,,Yes,,,,,Yes,,No,,,,russell,J
510,No,,No,No,No,No,No,No,,,Yes,,,,,Yes,,No,,,,russell,J
511,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,,scott,Z
512,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,,scott,Z
513,Yes,,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,rader,B
514,Yes,,No,Yes,No,No,No,No,,,Yes,,,,,,,,,,,neal,R
515,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,jarvis,R
516,No,,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,,godfrey,A
517,No,,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,,,goodrich,G
518,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,,wilson,J
519,No,,Yes,No,No,No,No,No,,,No,,,,No,,,,,,,dent,M
520,Yes,,No,No,No,No,No,No,,,Yes,,,,No,,,,,,,palmer,S
521,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,mulloy,T
522,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,everhard,J
523,Yes,,No,No,No,No,No,Yes,,,Yes,,,,,,,,,,,schiller,J
524,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,smith,W
525,No,,No,No,No,No,Yes,No,,,No,,,,,,,,,,,slatzer-rose,C
526,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,garrett,J
527,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,jr.,J
528,Yes,,No,No,No,No,No,No,,,No,,,,,,,,,,,galbraith,J
529,Yes,,No,No,No,No,No,No,,,,,,,,,,Yes,,,,roberts,S
530,No,,No,No,No,No,No,No,,,,,,,,,,No,,,,lange,W
531,Yes,,Yes,No,No,No,No,No,Yes,,No,,,,,,,,,Yes,,harbaugh,K
532,No,,No,No,No,No,No,No,No,,No,,,,,,,,,No,,pikus,P
533,No,,Yes,No,No,No,No,No,,,No,,,,,,,,,,,ebben,B
534,No,,No,Yes,No,No,No,No,,,No,,,,,,,,,,,guyette,M
535,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,jones,T
536,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,,,,,enoch,V
539,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,douglas,A
540,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,hullum,D
541,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,fields,G
542,No,,No,No,No,No,No,No,,,No,,,,,,,,,,,keeter,M
543,Yes,,No,No,No,No,No,No,,,No,,,,,,,,,,,gilpin,T
544,Yes,,Yes,No,No,No,No,No,,,,,,,,,,,,,,padgett,C
545,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,mcintosh,E
546,Yes,Nonwhite,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,nichols,J
547,No,,No,No,No,No,No,No,,,,,,,,,,,,,,jenner,V
548,Yes,,No,No,No,No,Yes,No,,,,,,,,,,,,,,robbins,F
549,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,,thibodeaux,M
550,Yes,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,gipson,F
551,No,,No,No,No,No,No,No,,,,,,,,,,,,,,varner,M
552,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,,brannon,M
553,No,,No,No,No,No,No,No,,,,,,,,,,,,,,klutts,R
554,No,,No,No,No,No,No,No,,,,,,,,,,,,,,porter,E
555,No,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,britt,E
556,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,,horn,K
557,No,,No,No,No,No,No,No,,,,,,,,,,,,,,kelley-leonard,L
558,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,,guild,T
559,No,,No,Yes,No,No,No,No,,,,,,,,,,,,,,meade,T
560,No,,No,No,No,No,No,No,,,,,,,Yes,,,,Yes,,,burnette,E
561,Yes,White,No,Yes,Yes,No,Yes,No,,,,,,,,,,Yes,,,,mcleod-skinner,J
562,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,neahring,J
563,No,,Yes,No,No,No,No,No,,,,,,,,,,,,,,crary,J
564,No,,No,No,No,No,No,No,,,,,,,,,,,,,,byrne,M
565,No,,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,mason,R
566,No,,No,No,No,No,No,No,,,,,,,,,,,,,,white,T
567,No,White,Yes,No,No,No,No,No,,Yes,Yes,,,,,,,,,Yes,,reddick,R
568,Yes,White,No,No,No,Yes,No,No,,,Yes,,,,,,,,,,,wallace,S
569,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,bacher,S
570,No,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,howe,A
571,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,ding,E
572,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,scott,G
573,No,Nonwhite,No,No,No,No,No,Yes,,Yes,,,,,,,,,,,,corbin-johnson,S
574,Yes,White,No,No,No,No,No,No,,,,,,Yes,Yes,Yes,,,Yes,,,king,J
575,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,herschel,J
576,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,friedenberg,M
577,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,ottaway,B
578,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,sedlock,A
579,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,boerio,B
580,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,solomon,R
581,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,prigg,T
582,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,boser,S
583,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,jodun,W
584,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,rieger,C
585,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,,multari,R
586,Yes,,Yes,No,No,No,No,No,,,,,,,,,,,,,,dinicola,R
587,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,hoeffel,J
588,Yes,White,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,,,,dean,M
589,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,goodman,S
590,No,White,No,Yes,No,No,No,No,,,,,,,,,,,,,,lunkenheimer,A
591,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,vitali,G
592,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,arata,L
593,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,li,L
594,No,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,,davidson,M
595,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,scanlon,M
596,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,,sheehan,M
598,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,,kirkland,T
599,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,wright,T
600,Yes,White,Yes,No,No,No,Yes,No,Yes,Yes,,,,,,,,,,Yes,,houlahan,C
601,No,White,No,No,No,No,No,No,,,,,,,,,,,,,No,clark,D
602,No,Nonwhite,No,No,No,No,No,No,,,,,,Yes,,Yes,Yes,,Yes,,No,edwards,G
603,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,Yes,morganelli,J
604,No,White,No,No,No,No,No,No,,,,,,,,,,,,,No,daugherty,R
605,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,No,ruggles,R
606,Yes,White,No,No,No,No,No,No,,Yes,,,,,,,,,,,No,wild,S
607,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,wolff,D
608,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,wegman,G
609,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,quick,L
613,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,cunningham,J
614,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,smith,T
615,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,,robertson,A
616,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,black,P
617,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,carrigan,S
618,No,Nonwhite,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,cleveland,H
619,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,geren,M
620,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,brown,B
621,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,Yes,,,turner,D
622,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,graben,E
623,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,davis,J
624,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,iii,W
625,Yes,White,No,No,No,No,No,No,No,,Yes,,,,,,,,,,,parnell,A
626,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,,,,,ali,M
627,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,moore,S
628,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,lough,S
629,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,,,hopkins,B
630,No,White,Yes,No,No,No,Yes,No,,,No,,,,No,,,,,,,fischer,B
631,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,,hyman,M
632,Yes,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,,williams,R
634,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,bjorkman,T
638,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,olsen,M
640,No,White,No,No,No,No,Yes,No,,,Yes,,,,No,,,No,,,,williams,J
641,Yes,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,Yes,,,,hoyos,R
642,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,Yes,,,,mitchell,D
643,No,White,No,No,No,No,No,Yes,,,,,,,,,,No,,,,hale,C
644,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,phillips,M
645,No,White,No,No,No,No,No,No,,,,,,,,,,No,,,,reynolds,S
647,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,No,,,,barlow,D
648,No,White,No,No,No,No,No,No,,,No,,,,,,,Yes,,,,wineinger,M
650,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,kanew,J
651,No,White,Yes,No,No,No,No,No,,,No,,,,,,,No,,,,reel,M
652,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,No,,,,pearson,E
653,No,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,jr.,J
655,No,White,No,No,No,No,No,No,,,,No,,,,,,,,,,wolfe,J
656,Yes,White,No,No,Yes,Yes,No,No,,,,Yes,,,,,,,,,,bredesen,P
666,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,beal,B
667,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,,,,,,,mckellar,S
668,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,nelson,K
669,No,White,No,Yes,No,No,Yes,No,,,,,,,,,,,,,,eden,M
670,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,harris,M
671,Yes,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,,siegel,M
672,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,walker,T
673,No,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,,,,,cadien,T
674,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,pfalzgraf,E
675,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,leeder,J
676,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,Yes,,,,,,adia,V
677,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,sagan,G
678,Yes,Nonwhite,No,No,No,No,No,Yes,,,,,,,Yes,Yes,,,,,,bell,A
679,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,No,,,,,,jr.,L
680,No,White,No,No,No,Yes,No,No,,No,,,,,No,,No,,,,,fenenbock,D
681,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,No,,,,,garcia,E
682,No,Nonwhite,Yes,No,No,No,No,No,,No,,,,,No,,No,,,,,tilghman,J
683,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,No,,,,,carrillo,J
684,No,Nonwhite,No,No,Yes,No,No,No,,No,,,,,No,,No,,,,,chavez,N
685,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,,Yes,,Yes,,,,,escobar,V
686,No,White,No,No,No,No,Yes,No,,,,,,,Yes,,,,,,,mantey,D
687,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,kennedy,R
688,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,levario,M
689,No,Nonwhite,No,Yes,No,No,Yes,No,,,,,,,Yes,No,,,,,,khorasani,A
690,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,No,,,,,,parvizian,H
691,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,Yes,,,,,,jones,J
692,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,No,,,,,,malik,S
693,Yes,White,No,No,No,No,No,No,,,,,,,No,No,,,,,,litton,T
694,No,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,,,No,,crowe,D
695,No,White,No,No,No,No,No,No,,,,,,,No,No,,,,No,,mcfadden,E
696,Yes,White,Yes,No,No,No,Yes,No,,,Yes,,,,No,No,,,,Yes,,kopser,J
697,No,White,No,Yes,No,No,Yes,No,,,Yes,,,,No,Yes,,,,No,,wilson,M
698,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,Yes,,,,,,plummer,L
699,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,No,,,,,,johnson,M
700,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,No,,,,,,gibson,M
701,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,No,No,,,,,,kulkarni,S
702,No,Nonwhite,No,No,No,No,No,No,,,,,,,Yes,No,,,,,,brown,S
703,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,No,,,,No,,villescaz,A
704,Yes,Nonwhite,Yes,Yes,No,No,No,No,Yes,Yes,Yes,,,,No,No,,,,Yes,,jones,G
705,No,Nonwhite,No,No,No,No,No,Yes,,No,,,,,No,No,,,,No,,hulings,J
706,No,Nonwhite,No,No,No,No,No,Yes,,No,,,,,No,No,,,,No,,canales,J
707,No,Nonwhite,No,No,No,No,No,No,No,No,,,,,Yes,Yes,,,,No,,trevi̱o,R
708,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,mcdowell,J
709,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,biggan,J
710,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,imhoff,J
711,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,allen,T
712,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,No,,,,panda,C
713,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,Yes,,,,perri,C
714,Yes,White,No,No,No,No,No,No,,,Yes,,,,No,,,No,,,,oliver,J
715,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,thomas,K
716,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,hansen,W
717,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,,,,,fagan,L
718,No,White,No,No,No,No,No,No,,,,,,,No,No,,,,,,fisher,W
719,Yes,Nonwhite,No,Yes,No,No,No,No,,,,,,,Yes,,,,,,,holguin,E
720,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,,barrera,R
721,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,mcdonald,R
722,No,White,No,Yes,No,No,No,No,,,,,,,,,,,,,,foster,V
723,No,Nonwhite,Yes,No,No,No,No,No,,No,,,,,No,,,,,,,reyes,A
724,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,No,,,,,,garcia,D
725,No,Nonwhite,No,No,No,No,No,No,,No,,,,,Yes,Yes,,,,,,morales,H
726,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,,valencia,P
727,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,,garcia,R
728,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,,No,,,,,,,garcia,S
729,No,Nonwhite,No,No,No,Yes,No,No,,No,,,,,No,,,,,,,javed,T
730,No,White,No,No,No,No,No,No,,,Yes,,,,,No,,,,,,bell,A
731,Yes,White,No,Yes,No,No,No,No,,,No,,,,,Yes,,,,,,burch,L
732,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,No,,,,,,yhap,M
733,No,White,No,No,No,No,No,No,,,Yes,,,,,No,,,,,,johnson,S
734,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,,mann,C
735,No,White,Yes,No,No,No,No,No,,,No,,,,No,,,,,,,lester,K
